Movie_Name,Genre,City,Screen_Type,Show_Time,Total_Seats,Tickets_Sold,Occupancy_Rate,Ticket_Price,Ticket_Sales,Concession_Sales,Total_Revenue,Show_Date
Key federal memory candidate,Drama,Houston,IMAX,Morning,150,85,0.5721511535004274,18,1530,560.6537061724806,2090.6537061724807,2024-06-07
Culture different western,Comedy,New York,3D,Afternoon,200,86,0.4340497538990957,15,1290,293.3610058550943,1583.3610058550944,2025-01-19
Practice many,Comedy,Miami,3D,Afternoon,100,42,0.4205690063878994,15,630,290.00261353240177,920.0026135324017,2024-09-20
Authority full,Comedy,Los Angeles,3D,Morning,200,144,0.7218788733591297,15,2160,964.5046820591302,3124.50468205913,2025-03-27
Future system imagine,Drama,Houston,Standard,Afternoon,100,80,0.8034360042856235,10,800,491.9598429233508,1291.9598429233508,2025-01-31
During perform most,Horror,New York,3D,Morning,100,58,0.5891984817629499,15,870,220.30089656597443,1090.3008965659744,2025-02-16
Situation including price,Comedy,Houston,3D,Evening,100,85,0.8505299346838036,15,1275,263.04590779849354,1538.0459077984935,2025-02-27
Hair woman middle well,Drama,Los Angeles,3D,Evening,100,75,0.7542454037571451,15,1125,515.0667312145083,1640.0667312145083,2024-08-31
Call age effort,Sci-Fi,Chicago,3D,Late Night,150,75,0.5032320368092313,15,1125,506.7711420974147,1631.7711420974147,2024-08-02
Enough product weight agree,Sci-Fi,New York,3D,Afternoon,150,98,0.654209340826262,15,1470,308.996821362479,1778.996821362479,2024-10-18
Little,Drama,Miami,3D,Evening,150,139,0.9307054849698954,15,2085,754.0521224382156,2839.0521224382155,2024-05-07
Method your over,Sci-Fi,Miami,IMAX,Late Night,100,59,0.5946260941335072,18,1062,237.11451144870531,1299.1145114487053,2025-04-08
May growth,Drama,Houston,IMAX,Afternoon,150,125,0.8346965483721009,18,2250,409.9869055631551,2659.9869055631552,2024-07-18
Water everybody poor,Action,Chicago,Standard,Evening,200,61,0.3070382343865383,10,610,402.6114277636903,1012.6114277636902,2024-04-27
Surface fall difference goal,Drama,Miami,3D,Late Night,150,108,0.7232853756562836,15,1620,625.1940349319804,2245.1940349319802,2024-12-02
Financial half,Horror,Miami,IMAX,Afternoon,200,122,0.6130570602357257,18,2196,824.8974713163293,3020.8974713163293,2024-09-01
Man party election,Horror,Los Angeles,Standard,Evening,200,131,0.6551488974301198,10,1310,829.8719887153261,2139.871988715326,2024-07-11
Together deal,Horror,Chicago,3D,Afternoon,200,122,0.6137641164803254,15,1830,662.0508463941242,2492.050846394124,2024-09-26
Teach option another,Horror,Chicago,3D,Late Night,200,60,0.30186466280986607,15,900,231.28833623738407,1131.288336237384,2024-07-24
Truth,Action,Houston,Standard,Afternoon,150,85,0.5670492168243731,10,850,430.25368337117357,1280.2536833711736,2024-09-15
Decide example,Comedy,Miami,3D,Morning,200,130,0.6535668857267619,15,1950,551.418121433356,2501.4181214333557,2024-12-03
How miss most,Action,Los Angeles,IMAX,Morning,100,82,0.8216841067112274,18,1476,568.7310154724473,2044.7310154724473,2024-07-27
Study thank offer get,Horror,Miami,IMAX,Late Night,200,104,0.5222594672589529,18,1872,551.4790941542764,2423.4790941542765,2024-12-30
Message eat,Comedy,Houston,3D,Late Night,100,47,0.4787259595660218,15,705,264.33890608901544,969.3389060890154,2025-01-23
Character expert role,Comedy,New York,IMAX,Late Night,100,52,0.5247364434623195,18,936,323.25485008401375,1259.2548500840137,2024-06-19
Nice,Sci-Fi,Miami,3D,Morning,100,73,0.7373103176553111,15,1095,486.90124422098853,1581.9012442209885,2024-05-25
Number than include,Horror,New York,3D,Afternoon,200,129,0.6493126664489527,15,1935,661.0640531014838,2596.0640531014838,2024-05-12
Cover amount,Horror,Miami,Standard,Evening,200,124,0.6205359694349442,10,1240,776.2432276365153,2016.2432276365153,2024-07-09
Seven determine size,Comedy,Miami,3D,Late Night,200,135,0.6769901149670033,15,2025,870.2072512829616,2895.207251282962,2024-10-09
Be week dinner,Drama,Houston,3D,Afternoon,200,122,0.6145616324022061,15,1830,602.4833443302903,2432.4833443302905,2024-11-14
Sing piece,Action,Los Angeles,3D,Late Night,200,149,0.7452967485799333,15,2235,617.2939779144389,2852.293977914439,2024-08-23
Detail forward,Sci-Fi,Chicago,3D,Evening,100,59,0.5946920359183971,15,885,209.65627851781275,1094.6562785178128,2024-12-12
Major right drug,Comedy,Los Angeles,3D,Afternoon,100,55,0.5508506780103347,15,825,256.270937097608,1081.270937097608,2025-01-24
Her fight require before,Horror,Chicago,Standard,Late Night,100,54,0.5411837770301764,10,540,206.6762281351126,746.6762281351126,2024-04-29
Far may,Sci-Fi,Houston,3D,Morning,150,57,0.3804727577801822,15,855,279.7513790230774,1134.7513790230773,2025-03-22
Opportunity worker network,Horror,Chicago,3D,Late Night,200,128,0.6444180415596864,15,1920,766.7280225167619,2686.728022516762,2024-05-25
I minute,Horror,Miami,Standard,Afternoon,100,63,0.6391582908269834,10,630,257.7796985643406,887.7796985643406,2024-05-08
Focus artist,Drama,Houston,IMAX,Late Night,200,120,0.6007670184963692,18,2160,685.9881048136078,2845.9881048136076,2025-01-07
Any really,Horror,Houston,Standard,Afternoon,100,56,0.564811929993728,10,560,387.68172296423876,947.6817229642388,2024-10-30
Cold media which,Sci-Fi,Miami,IMAX,Late Night,200,77,0.3876943886924379,18,1386,435.20392510553773,1821.2039251055378,2025-02-10
Answer wear,Comedy,New York,Standard,Late Night,150,80,0.5369032015851961,10,800,298.1532884842983,1098.1532884842982,2025-03-22
Building just shoulder,Comedy,Chicago,3D,Evening,150,97,0.6485928225209845,15,1455,417.8161722939477,1872.8161722939476,2024-10-09
Outside especially hot,Drama,Houston,3D,Late Night,100,47,0.47965840961675715,15,705,229.41768520805283,934.4176852080528,2024-09-29
Head provide process,Comedy,Miami,IMAX,Evening,200,135,0.6758071432500986,18,2430,442.0539200444955,2872.0539200444955,2024-07-15
Describe its,Comedy,New York,IMAX,Afternoon,100,66,0.6606076285221807,18,1188,362.03261333874565,1550.0326133387457,2025-01-04
Light people some,Action,Los Angeles,IMAX,Late Night,200,176,0.8829278851815795,18,3168,1195.2209436405228,4363.220943640523,2025-03-23
Computer particular probably,Drama,Houston,Standard,Evening,100,72,0.7261866719247758,10,720,390.4970954573696,1110.4970954573696,2024-06-15
Morning nothing,Action,New York,IMAX,Evening,200,147,0.7386325586084146,18,2646,456.09891419251,3102.09891419251,2024-09-07
Deep view firm,Horror,Chicago,Standard,Late Night,200,117,0.5888331126350749,10,1170,443.8183356789228,1613.8183356789227,2024-08-05
Interview,Action,Miami,Standard,Afternoon,200,62,0.31218431770514377,10,620,377.5752594679036,997.5752594679036,2025-02-25
Near risk dream,Drama,Miami,IMAX,Morning,200,119,0.5960229186826175,18,2142,560.9079342997383,2702.9079342997384,2024-12-20
Authority rate police,Action,Chicago,IMAX,Evening,150,106,0.7090345314911539,18,1908,666.6683092701846,2574.6683092701846,2024-08-13
Remember let major,Horror,New York,3D,Evening,200,200,1.0,15,3000,722.3929192750879,3722.392919275088,2024-07-26
Study economic star,Sci-Fi,Los Angeles,Standard,Evening,200,134,0.6711458552828315,10,1340,817.207817399164,2157.207817399164,2024-09-24
Million,Drama,Houston,3D,Evening,100,74,0.7452321013500418,15,1110,467.8963815916186,1577.8963815916186,2024-05-04
According,Comedy,New York,3D,Late Night,150,89,0.5947932345442135,15,1335,469.86647350548276,1804.8664735054826,2024-10-25
Radio culture,Horror,Houston,3D,Morning,150,63,0.4246982943570702,15,945,234.82364400373834,1179.8236440037383,2025-02-10
Factor trial nothing,Drama,Los Angeles,3D,Evening,150,130,0.871423422177253,15,1950,847.7663894742772,2797.7663894742773,2024-05-29
Civil head,Sci-Fi,Chicago,Standard,Morning,100,71,0.7127899549030161,10,710,237.31408119607804,947.3140811960781,2024-08-16
Partner be pull,Horror,Houston,3D,Afternoon,200,143,0.718654792056457,15,2145,836.1738565023974,2981.1738565023975,2024-10-01
Life tell before instead,Drama,Houston,IMAX,Morning,100,46,0.46359188178078914,18,828,212.40980767673878,1040.4098076767389,2024-07-02
Short trouble,Horror,Los Angeles,3D,Evening,200,182,0.9104191466404148,15,2730,932.511165874119,3662.511165874119,2025-01-27
Film few message ability,Drama,Houston,Standard,Evening,200,97,0.4897223405811578,10,970,467.0531619870332,1437.0531619870333,2025-01-08
Total,Action,Chicago,3D,Afternoon,200,137,0.6880285640700405,15,2055,516.5361928114315,2571.5361928114316,2025-04-10
Option PM,Comedy,New York,Standard,Afternoon,100,92,0.9285683438714967,10,920,547.8065124912938,1467.8065124912937,2025-01-14
These indicate good,Action,Chicago,Standard,Evening,100,55,0.5514195512303968,10,550,230.1742219183318,780.1742219183318,2024-05-05
Technology property also,Action,Chicago,IMAX,Evening,200,123,0.6150553405595842,18,2214,631.7944639196903,2845.7944639196903,2024-09-21
Food appear cold,Sci-Fi,Chicago,IMAX,Morning,150,92,0.6149477047631462,18,1656,532.6496005909515,2188.6496005909516,2024-05-16
Leader whether,Action,Los Angeles,Standard,Late Night,100,52,0.5244786518825701,10,520,275.4053576822771,795.4053576822771,2024-11-27
Whatever admit,Drama,Houston,3D,Late Night,100,36,0.3674004853400801,15,540,247.03166061191445,787.0316606119145,2025-02-02
Require left,Action,Chicago,3D,Morning,150,91,0.610284446220904,15,1365,451.9957479459488,1816.9957479459488,2025-03-25
Board sure hospital writer,Comedy,Miami,Standard,Morning,100,44,0.44065444294108425,10,440,274.7610054244083,714.7610054244083,2025-02-14
Society else land,Action,Chicago,IMAX,Afternoon,200,134,0.6710388645952772,18,2412,811.74168669484,3223.74168669484,2024-10-26
Sea,Sci-Fi,Miami,Standard,Afternoon,150,69,0.4620863648649295,10,690,331.3419923092962,1021.3419923092962,2024-10-12
Business wait offer,Drama,Houston,3D,Late Night,200,166,0.8324901607526309,15,2490,910.3621411919067,3400.3621411919066,2025-01-04
Foot standard either several,Comedy,Miami,Standard,Morning,200,96,0.4825120061495644,10,960,369.0336749972709,1329.033674997271,2024-09-06
Miss program create,Comedy,New York,IMAX,Afternoon,200,110,0.5516907725691487,18,1980,363.0285423165139,2343.0285423165137,2025-02-06
Current long wrong,Sci-Fi,New York,3D,Late Night,150,108,0.7220275826054504,15,1620,449.82401286140396,2069.824012861404,2025-02-21
Important account,Horror,Los Angeles,3D,Evening,100,51,0.5153703525349067,15,765,293.2265236945335,1058.2265236945336,2025-03-30
Everything truth much public,Horror,Chicago,Standard,Afternoon,100,63,0.6341189901906193,10,630,326.2297194350658,956.2297194350658,2025-03-02
Consumer voice media,Action,Los Angeles,3D,Afternoon,100,79,0.7960714131423642,15,1185,289.431601393749,1474.4316013937491,2024-12-03
Clearly popular bar cover,Horror,Chicago,Standard,Evening,100,45,0.45887751481581585,10,450,219.3656346497091,669.3656346497091,2024-10-06
Oil participant everything human,Drama,Chicago,Standard,Late Night,200,125,0.6276950787798456,10,1250,644.990781299007,1894.990781299007,2025-02-04
Network mention,Horror,Houston,IMAX,Morning,200,127,0.6389824191372635,18,2286,544.7393643460164,2830.7393643460164,2024-08-04
Accept dream TV,Comedy,Chicago,IMAX,Morning,200,143,0.7172734307665966,18,2574,907.1683271543357,3481.1683271543357,2024-06-17
Require ahead,Drama,Miami,Standard,Morning,200,82,0.4144573933682877,10,820,259.1959887914341,1079.195988791434,2024-10-27
Yes natural military,Drama,Los Angeles,3D,Late Night,100,40,0.40193150803735855,15,600,279.51127598921016,879.5112759892102,2025-01-10
Sound investment,Action,Houston,Standard,Late Night,150,101,0.6782912348425346,10,1010,443.5762667430388,1453.5762667430388,2024-08-03
Decide other,Comedy,Chicago,3D,Morning,150,96,0.6445477009849779,15,1440,446.0717144785128,1886.0717144785128,2024-06-03
Artist Congress,Sci-Fi,Houston,3D,Late Night,100,63,0.6375739275518815,15,945,303.6161289676358,1248.6161289676359,2024-10-30
System morning his,Action,Chicago,3D,Evening,150,112,0.7519672314245464,15,1680,723.4799416552418,2403.479941655242,2025-01-01
Present discuss,Horror,New York,Standard,Late Night,100,49,0.49799629176322635,10,490,183.76617811332733,673.7661781133273,2024-07-05
Health no,Horror,Chicago,Standard,Late Night,100,63,0.6348380545741505,10,630,240.296676064269,870.296676064269,2024-05-08
Administration check Congress,Horror,Miami,IMAX,Evening,200,148,0.7439608709948021,18,2664,730.9493837943988,3394.9493837943987,2025-02-01
Southern,Comedy,New York,Standard,Afternoon,150,73,0.4928472872960448,10,730,379.8449900447796,1109.8449900447795,2024-09-16
Even window history,Comedy,Miami,3D,Morning,100,87,0.8798661766717135,15,1305,421.5838671742166,1726.5838671742167,2024-06-21
Similar campaign really,Horror,New York,Standard,Afternoon,200,134,0.6710749381367681,10,1340,558.4377963003172,1898.4377963003171,2024-12-25
Practice interesting,Horror,Chicago,3D,Late Night,100,42,0.4213044754196027,15,630,202.74012741902865,832.7401274190287,2024-08-23
Explain would dinner,Sci-Fi,Los Angeles,3D,Afternoon,200,139,0.6984830412950744,15,2085,831.9386552937731,2916.938655293773,2024-06-16
Throw community house,Horror,Los Angeles,IMAX,Evening,150,83,0.5537977494659018,18,1494,559.1704667025966,2053.1704667025965,2025-04-17
Enjoy machine dream,Drama,Miami,3D,Morning,200,143,0.7180626905613677,15,2145,599.7739460694507,2744.7739460694506,2024-05-04
Charge to lot,Comedy,Miami,Standard,Late Night,150,116,0.7737893368511106,10,1160,597.9013880545974,1757.9013880545974,2025-02-28
Seek sing company,Horror,Chicago,3D,Late Night,150,71,0.4768976522472434,15,1065,459.96687803847544,1524.9668780384754,2024-05-22
Simply become,Comedy,Los Angeles,Standard,Late Night,150,111,0.7445064193866482,10,1110,352.3794007992021,1462.3794007992021,2025-03-05
Opportunity magazine ground,Horror,Houston,Standard,Late Night,200,132,0.6619171390404748,10,1320,814.3838528495633,2134.3838528495635,2025-03-01
Government area land,Comedy,Los Angeles,3D,Morning,200,144,0.7233090239991735,15,2160,988.0436679418677,3148.0436679418676,2024-12-24
Force glass,Action,Chicago,IMAX,Late Night,200,176,0.8845189473980921,18,3168,1168.9509410983128,4336.950941098313,2024-11-25
Within rest radio,Horror,New York,Standard,Afternoon,200,112,0.5631917825995694,10,1120,770.5406437304156,1890.5406437304155,2025-03-21
Religious from cell,Drama,New York,3D,Evening,200,117,0.5869395753463765,15,1755,675.1857521386607,2430.185752138661,2025-04-03
Four,Drama,New York,3D,Late Night,200,93,0.46657283555617146,15,1395,546.3628821829496,1941.3628821829498,2025-03-15
Share environmental,Sci-Fi,Houston,Standard,Morning,100,47,0.4776284572551842,10,470,185.13680570318004,655.13680570318,2024-05-27
Hair significant compare after,Horror,Chicago,IMAX,Morning,100,58,0.5884347435878844,18,1044,350.4057687746696,1394.4057687746695,2024-10-02
Military ready,Drama,New York,3D,Afternoon,100,65,0.6511727962224966,15,975,206.9576518560753,1181.9576518560752,2025-01-12
Fight happen,Drama,New York,3D,Evening,150,111,0.7415036198995029,15,1665,397.6329892905329,2062.632989290533,2024-10-23
Respond truth attorney moment,Comedy,Miami,3D,Afternoon,100,72,0.7240774873554036,15,1080,238.74288499007847,1318.7428849900784,2025-01-24
That,Horror,Houston,Standard,Afternoon,200,120,0.601950283781686,10,1200,428.6965056616846,1628.6965056616846,2024-10-31
Sort maintain without,Horror,Houston,Standard,Evening,150,137,0.9180301115735975,10,1370,776.4287130620314,2146.4287130620314,2025-03-23
Law cause author commercial,Action,Houston,3D,Afternoon,150,84,0.5603014750143066,15,1260,569.599173338041,1829.599173338041,2024-08-29
Long perhaps fire,Drama,Miami,3D,Late Night,150,150,1.0,15,2250,957.1823550855592,3207.1823550855593,2025-03-15
Others room officer view,Action,Los Angeles,3D,Late Night,100,69,0.693850102164751,15,1035,312.2565461535056,1347.2565461535055,2024-10-01
Some none level,Drama,Chicago,Standard,Evening,100,57,0.5714263665375576,10,570,393.97134248352467,963.9713424835247,2025-01-06
Position couple,Sci-Fi,Houston,3D,Morning,200,87,0.43936612529083313,15,1305,531.8524422879872,1836.8524422879873,2024-05-11
Arm and which,Drama,New York,Standard,Late Night,100,67,0.6723708622864778,10,670,363.6934195080233,1033.6934195080232,2024-10-08
Civil office those,Sci-Fi,Chicago,IMAX,Afternoon,150,84,0.5664805822011223,18,1512,479.7288580974488,1991.7288580974487,2025-04-11
Build share great,Action,Los Angeles,Standard,Morning,150,106,0.7071000741138138,10,1060,652.3708452203053,1712.3708452203055,2024-12-24
Become somebody,Comedy,New York,Standard,Evening,100,77,0.7709856436860316,10,770,511.16536619435266,1281.1653661943526,2024-08-10
Particular future,Comedy,Chicago,Standard,Late Night,100,58,0.5890756631014691,10,580,204.66107307725377,784.6610730772538,2025-03-05
Choose during,Comedy,Miami,3D,Evening,150,85,0.5729809422897392,15,1275,565.7766442030261,1840.776644203026,2024-09-23
Single security spend,Action,Houston,3D,Evening,150,70,0.47277291629712026,15,1050,479.6101220032857,1529.6101220032856,2024-10-28
Face them value,Sci-Fi,Los Angeles,IMAX,Late Night,150,79,0.5330227571899468,18,1422,265.5357086796723,1687.5357086796723,2024-12-08
Mention,Sci-Fi,Houston,IMAX,Evening,100,82,0.8284598191485208,18,1476,395.1698170967109,1871.1698170967109,2024-10-03
Cell laugh challenge,Drama,Chicago,Standard,Late Night,100,63,0.6321140616195305,10,630,359.05881195458113,989.0588119545812,2024-08-07
Especially blood,Sci-Fi,Houston,IMAX,Evening,100,51,0.5131391831932017,18,918,285.1210856504461,1203.121085650446,2024-08-23
Material land,Horror,Houston,Standard,Evening,100,72,0.7259771388776772,10,720,256.25577960207966,976.2557796020797,2024-06-20
Sport high,Action,New York,3D,Late Night,100,65,0.6577976069593255,15,975,256.04800843214554,1231.0480084321455,2024-06-07
Hot turn sound,Horror,Miami,IMAX,Late Night,150,70,0.46742138456983007,18,1260,397.73614127804797,1657.7361412780479,2024-12-27
Minute,Horror,Miami,3D,Afternoon,200,124,0.6230587658918292,15,1860,421.11473081642214,2281.1147308164223,2024-06-28
Mention really station,Drama,Houston,Standard,Late Night,100,60,0.6087313077669,10,600,345.66735929941524,945.6673592994152,2024-08-27
Stand summer,Comedy,Los Angeles,3D,Late Night,150,64,0.4285544553254065,15,960,217.43478389916936,1177.4347838991694,2024-06-11
Standard outside leg,Action,Chicago,Standard,Evening,150,113,0.7536681040522425,10,1130,463.69841126943726,1593.6984112694372,2024-07-25
Standard,Comedy,New York,3D,Morning,200,136,0.6841176789552351,15,2040,755.8841476801589,2795.884147680159,2024-11-07
Order own sometimes,Comedy,New York,IMAX,Evening,100,86,0.8624576864762915,18,1548,528.7204663918526,2076.720466391853,2025-02-12
Cold kind short,Sci-Fi,Los Angeles,IMAX,Afternoon,100,75,0.7580703078052354,18,1350,468.9158943363177,1818.9158943363177,2024-11-19
Well gun,Sci-Fi,Los Angeles,3D,Afternoon,100,39,0.39334959480643633,15,585,160.25487597220655,745.2548759722065,2025-01-24
Party family,Comedy,Los Angeles,IMAX,Evening,100,55,0.5593262440127316,18,990,310.43268137140967,1300.4326813714097,2024-11-05
Into hour day,Drama,New York,IMAX,Morning,100,67,0.6772552900812989,18,1206,358.8125831095185,1564.8125831095185,2024-09-09
Organization will poor,Action,New York,IMAX,Evening,100,77,0.7770678926368313,18,1386,459.449161541878,1845.449161541878,2024-06-25
Go team people,Horror,Miami,IMAX,Morning,150,101,0.6772571529459072,18,1818,617.3188838829379,2435.318883882938,2024-04-27
Discussion dark,Horror,Miami,Standard,Morning,200,200,1.0,10,2000,777.239805134628,2777.239805134628,2025-01-25
Article data remain,Horror,Miami,IMAX,Evening,200,157,0.785633576603975,18,2826,1076.408443000634,3902.408443000634,2024-07-05
